Y,M,D,Q
2000,10,1,39.36185267
2000,10,2,39.36185267
2000,10,3,37.94595869
2000,10,4,37.94595869
2000,10,5,37.37960109
2000,10,6,36.8132435
2000,10,7,37.0964223
2000,10,8,36.8132435
2000,10,9,38.51231628
2000,10,10,37.66277989
2000,10,11,39.64503146
2000,10,12,39.92821026
2000,10,13,40.49456785
2000,10,14,40.49456785
2000,10,15,37.66277989
2000,10,16,37.94595869
2000,10,17,36.5300647
2000,10,18,34.83099193
2000,10,19,35.11417072
2000,10,20,35.96370711
2000,10,21,36.8132435
2000,10,22,36.5300647
2000,10,23,35.39734952
2000,10,24,34.26463433
2000,10,25,35.11417072
2000,10,26,33.69827674
2000,10,27,31.99920397
2000,10,28,31.71602517
2000,10,29,32.84874035
2000,10,30,33.13191915
2000,10,31,32.84874035
2000,11,1,32.28238276
2000,11,2,31.99920397
2000,11,3,31.71602517
2000,11,4,31.14966758
2000,11,5,31.14966758
2000,11,6,31.43284637
2000,11,7,31.71602517
2000,11,8,31.43284637
2000,11,9,31.43284637
2000,11,10,29.167416
2000,11,11,26.90198563
2000,11,12,31.99920397
2000,11,13,31.99920397
2000,11,14,29.7337736
2000,11,15,32.84874035
2000,11,16,31.43284637
2000,11,17,30.58330998
2000,11,18,30.86648878
2000,11,19,30.30013119
2000,11,20,27.58161475
2000,11,21,29.4505948
2000,11,22,31.43284637
2000,11,23,30.30013119
2000,11,24,30.86648878
2000,11,25,30.86648878
2000,11,26,32.28238276
2000,11,27,30.30013119
2000,11,28,28.31787962
2000,11,29,30.30013119
2000,11,30,33.41509795
2000,12,1,30.01695239
2000,12,2,27.18516443
2000,12,3,28.60105841
2000,12,4,31.71602517
2000,12,5,30.58330998
2000,12,6,30.30013119
2000,12,7,30.01695239
2000,12,8,29.7337736
2000,12,9,29.7337736
2000,12,10,29.7337736
2000,12,11,30.01695239
2000,12,12,27.58161475
2000,12,13,31.14966758
2000,12,14,32.28238276
2000,12,15,30.01695239
2000,12,16,27.04357503
2000,12,17,35.96370711
2000,12,18,31.14966758
2000,12,19,33.69827674
2000,12,20,30.30013119
2000,12,21,29.167416
2000,12,22,39.36185267
2000,12,23,32.84874035
2000,12,24,33.13191915
2000,12,25,33.69827674
2000,12,26,30.58330998
2000,12,27,32.28238276
2000,12,28,35.96370711
2000,12,29,31.71602517
2000,12,30,31.99920397
2000,12,31,33.41509795
2001,1,1,33.13191915
2001,1,2,30.01695239
2001,1,3,32.28238276
2001,1,4,34.83099193
2001,1,5,30.30013119
2001,1,6,31.43284637
2001,1,7,30.58330998
2001,1,8,27.32675383
2001,1,9,35.39734952
2001,1,10,35.39734952
2001,1,11,34.54781313
2001,1,12,31.99920397
2001,1,13,31.71602517
2001,1,14,36.24688591
2001,1,15,30.01695239
2001,1,16,29.4505948
2001,1,17,27.7798399
2001,1,18,32.84874035
2001,1,19,38.79549507
2001,1,20,34.54781313
2001,1,21,35.11417072
2001,1,22,35.39734952
2001,1,23,34.54781313
2001,1,24,33.98145554
2001,1,25,35.39734952
2001,1,26,38.51231628
2001,1,27,34.54781313
2001,1,28,34.54781313
2001,1,29,34.54781313
2001,1,30,35.11417072
2001,1,31,37.0964223
2001,2,1,36.8132435
2001,2,2,37.66277989
2001,2,3,35.11417072
2001,2,4,36.24688591
2001,2,5,34.83099193
2001,2,6,34.83099193
2001,2,7,35.96370711
2001,2,8,30.86648878
2001,2,9,27.35507171
2001,2,10,45.30860739
2001,2,11,35.11417072
2001,2,12,34.54781313
2001,2,13,39.92821026
2001,2,14,34.26463433
2001,2,15,36.8132435
2001,2,16,36.24688591
2001,2,17,35.68052832
2001,2,18,35.68052832
2001,2,19,35.68052832
2001,2,20,36.24688591
2001,2,21,36.8132435
2001,2,22,36.24688591
2001,2,23,36.24688591
2001,2,24,36.24688591
2001,2,25,36.24688591
2001,2,26,35.96370711
2001,2,27,33.98145554
2001,2,28,35.68052832
2001,3,1,35.11417072
2001,3,2,36.5300647
2001,3,3,35.39734952
2001,3,4,35.68052832
2001,3,5,35.68052832
2001,3,6,35.39734952
2001,3,7,35.11417072
2001,3,8,35.11417072
2001,3,9,36.5300647
2001,3,10,34.26463433
2001,3,11,32.84874035
2001,3,12,31.43284637
2001,3,13,32.56556156
2001,3,14,32.28238276
2001,3,15,32.56556156
2001,3,16,32.84874035
2001,3,17,32.56556156
2001,3,18,32.56556156
2001,3,19,32.28238276
2001,3,20,32.56556156
2001,3,21,33.41509795
2001,3,22,34.26463433
2001,3,23,32.56556156
2001,3,24,30.58330998
2001,3,25,30.86648878
2001,3,26,31.71602517
2001,3,27,31.43284637
2001,3,28,30.58330998
2001,3,29,30.58330998
2001,3,30,30.30013119
2001,3,31,30.30013119
2001,4,1,30.58330998
