YR,MO,DA,SNODEP_mm,SWE_mm,PRCP_TOT_mm,PRCP_DAY_mm,TOBS_degC,TMAX_degC,TMIN_degC,TAVG_degC
2009,10,1,0,0,0,0,0.4,2.6,-1.6,0.3
2009,10,2,0,0,0,0,-1.9,5.2,-4.7,0.5
2009,10,3,0,0,0,0,-0.4,8.3,-2.8,2.4
2009,10,4,127,17.78,17.78,17.78,1.1,5.7,-0.4,2.7
2009,10,5,152.4,22.86,40.64,22.86,0.7,3.1,-0.4,1.4
2009,10,6,203.2,20.32,45.72,5.08,-1.2,5.3,-1.3,1.1
2009,10,7,177.8,20.32,45.72,0,0.1,7,-3.2,0.7
2009,10,8,76.2,20.32,45.72,0,3.4,8.1,-1.9,2.8
2009,10,9,50.8,12.7,45.72,0,1.5,6.5,-0.7,3
2009,10,10,50.8,7.62,45.72,0,-1.2,5,-1.2,1.5
2009,10,11,50.8,7.62,45.72,0,-2.8,1.5,-5,-0.8
2009,10,12,25.4,5.08,45.72,0,-3.5,1.8,-4.9,-1.7
2009,10,13,0,0,50.8,5.08,7.6,8.3,-3.9,4.2
2009,10,14,0,0,58.42,7.62,5.5,9.5,3.5,6.1
2009,10,15,0,0,71.12,12.7,5.6,9,4.5,6.3
2009,10,16,0,0,73.66,2.54,7.2,9.3,3.9,6.2
2009,10,17,0,0,73.66,0,10.8,14,3.4,8.8
2009,10,18,0,0,73.66,0,10.8,15.9,9.8,12.6
2009,10,19,0,0,78.74,5.08,5.9,14,5,9.3
2009,10,20,0,0,86.36,7.62,2.4,5.9,2.2,4.8
2009,10,21,0,0,86.36,0,0.6,7.2,0.3,4
2009,10,22,0,0,88.9,2.54,4.8,7.1,0.2,4.1
2009,10,23,0,0,88.9,0,5.3,8.1,1.5,5
2009,10,24,0,0,93.98,5.08,6.2,9.4,1.7,5.8
2009,10,25,0,0,93.98,0,1,6.2,0.5,2.7
2009,10,26,0,0,93.98,0,3.5,5.1,-2.9,1.7
2009,10,27,0,0,99.06,5.08,-1.5,9.6,-1.7,4.7
2009,10,28,101.6,5.08,104.14,5.08,-4.6,-1.5,-4.9,-3.6
2009,10,29,76.2,5.08,104.14,0,-5,-0.5,-7.5,-3.7
2009,10,30,101.6,7.62,106.68,2.54,-0.9,-0.6,-8,-4
2009,10,31,50.8,15.24,114.3,7.62,3.3,5,-0.9,2.6
2009,11,1,50.8,12.7,114.3,0,4.2,8.6,2.6,5.7
2009,11,2,25.4,5.08,114.3,0,-0.2,4.5,-0.9,2.4
2009,11,3,0,0,114.3,0,0,7,-2.3,2
2009,11,4,0,0,114.3,0,7.1,8.8,-0.5,4.6
2009,11,5,0,0,116.84,2.54,10.3,13.1,6.3,10.2
2009,11,6,0,0,116.84,0,7.3,11.9,7.3,9.8
2009,11,7,25.4,2.54,119.38,2.54,0.3,7.3,-0.5,2.6
2009,11,8,25.4,5.08,121.92,2.54,0.5,2.3,-1.5,0.3
2009,11,9,25.4,5.08,121.92,0,1.2,3.7,-4.2,0.2
2009,11,10,25.4,7.62,124.46,2.54,3.5,6.5,0.9,4
2009,11,11,25.4,7.62,124.46,0,4,7.1,1.5,3.7
2009,11,12,50.8,15.24,132.08,7.62,-0.2,4.6,-0.2,2.4
2009,11,13,152.4,22.86,134.62,2.54,-5.5,-0.2,-8.3,-4.1
2009,11,14,203.2,27.94,137.16,2.54,-4.3,-1.6,-8.2,-4.7
2009,11,15,228.6,30.48,139.7,2.54,-10.3,-4.3,-11.4,-7
2009,11,16,203.2,38.1,144.78,5.08,-2,0.9,-11.2,-5.5
2009,11,17,177.8,43.18,147.32,2.54,4.9,4.9,-2.9,2
2009,11,18,177.8,43.18,147.32,0,2.3,9.8,1.5,5.9
2009,11,19,177.8,43.18,147.32,0,-5.3,2.4,-6.9,-1.8
2009,11,20,177.8,43.18,147.32,0,3.4,3.9,-6.4,0.4
2009,11,21,177.8,43.18,147.32,0,-1.9,5.6,-1.9,3.4
2009,11,22,203.2,43.18,147.32,0,-4.6,-1.9,-9.1,-4.7
2009,11,23,279.4,58.42,157.48,10.16,-5.1,-1.8,-5.1,-3.5
2009,11,24,279.4,58.42,157.48,0,-5.1,-0.2,-10.3,-5.5
2009,11,25,304.8,60.96,160.02,2.54,-1.8,5.8,-6.6,-1.2
2009,11,26,254,60.96,160.02,0,3,8.3,-1.9,2
2009,11,27,254,63.5,162.56,2.54,4.5,6.1,2.1,4.3
2009,11,28,304.8,63.5,162.56,0,0.4,4.6,-0.4,1.7
2009,11,29,279.4,63.5,162.56,0,-0.5,2.5,-1.1,0.7
2009,11,30,279.4,63.5,162.56,0,-1.4,3.2,-2.8,0.2
2009,12,1,279.4,63.5,162.56,0,0,7.3,-2.9,0.1
2009,12,2,279.4,63.5,162.56,0,-6.5,0.5,-7.6,-2.4
2009,12,3,279.4,63.5,162.56,0,-9.8,-2.2,-9.9,-6.3
2009,12,4,279.4,63.5,162.56,0,-8.1,-4.6,-14.6,-9.4
2009,12,5,304.8,63.5,162.56,0,-8.6,-1.3,-8.9,-4.9
2009,12,6,279.4,63.5,162.56,0,-11.3,-5.6,-11.9,-8.6
2009,12,7,304.8,63.5,162.56,0,-13.3,-9,-14.6,-12.1
2009,12,8,304.8,63.5,162.56,0,-15.5,-10.8,-17.5,-14.9
2009,12,9,330.2,63.5,162.56,0,-20.7,-13.2,-21.1,-16.7
2009,12,10,304.8,63.5,162.56,0,-15.2,-12.8,-21.8,-16.6
2009,12,11,304.8,66.04,165.1,2.54,-10.4,-6.9,-17.3,-12.4
2009,12,12,304.8,71.12,170.18,5.08,-4.6,-2.9,-10.6,-5.9
2009,12,13,330.2,78.74,175.26,5.08,-2.6,-0.5,-4.7,-2.3
2009,12,14,381,78.74,175.26,0,-4.8,-1.5,-4.8,-2.6
2009,12,15,330.2,78.74,175.26,0,-2.8,-2.8,-7.6,-4.5
2009,12,16,660.4,119.38,215.9,40.64,-0.5,-0.1,-3,-1.7
2009,12,17,762,134.62,231.14,15.24,1.2,2.2,-0.5,0.8
2009,12,18,711.2,134.62,231.14,0,-0.4,3.7,-1.7,0.5
2009,12,19,685.8,134.62,231.14,0,-1.9,4.3,-3.2,-0.2
2009,12,20,685.8,137.16,233.68,2.54,2.1,3.5,-3.3,0.8
2009,12,21,660.4,137.16,233.68,0,2.2,4.3,0.4,2.3
2009,12,22,660.4,139.7,236.22,2.54,-0.3,3.4,-0.9,1.5
2009,12,23,812.8,152.4,243.84,7.62,-5.1,-0.3,-6.9,-5.2
2009,12,24,762,152.4,243.84,0,-6.1,-4.4,-7.8,-5.8
2009,12,25,762,152.4,243.84,0,-3.8,-1.3,-8.9,-5.2
2009,12,26,736.6,152.4,243.84,0,-3.3,0.3,-5.5,-2.1
2009,12,27,711.2,152.4,243.84,0,-4.9,-2.7,-6.4,-4.3
2009,12,28,711.2,152.4,243.84,0,-4.7,-2.8,-5.7,-4.7
2009,12,29,711.2,152.4,243.84,0,-3.8,-0.7,-4.9,-3.3
2009,12,30,711.2,157.48,248.92,5.08,-5.2,-2.1,-5.9,-4.3
2009,12,31,812.8,170.18,256.54,7.62,-4.1,-4,-5.2,-4.6
2010,1,1,889,187.96,274.32,17.78,0,0.2,-6.3,-4
2010,1,2,990.6,208.28,294.64,20.32,-0.1,2.2,-0.4,0.9
2010,1,3,939.8,208.28,294.64,0,-5.3,-0.1,-6.2,-2.4
2010,1,4,914.4,208.28,294.64,0,-2,0.6,-6.7,-3
2010,1,5,889,210.82,297.18,2.54,0.9,2,-2,-0.3
2010,1,6,965.2,220.98,304.8,7.62,1.2,1.7,-0.2,0.8
